iter	Passed	Remaining
560	49727	83234
561	49813	83140
562	49898	83046
563	49983	82951
564	50068	82855
565	50155	82765
566	50240	82670
567	50323	82573
568	50409	82479
569	50500	82395
570	50583	82297
571	50671	82207
572	50754	82111
573	50843	82022
574	50932	81935
575	51020	81844
576	51106	81753
577	51192	81660
578	51285	81578
579	51378	81496
580	51466	81407
581	51555	81318
582	51637	81221
583	51724	81129
584	51820	81052
585	51909	80965
586	51996	80873
587	52083	80782
588	52168	80688
589	52260	80604
590	52348	80515
591	52433	80421
592	52522	80333
593	52631	80275
594	52724	80194
595	52812	80104
596	52898	80011
597	52981	79914
598	53068	79823
599	53153	79730
600	53238	79636
601	53322	79541
602	53411	79453
603	53501	79366
604	53588	79275
605	53674	79183
606	53761	79091
607	53853	79009
608	53937	78914
609	54027	78827
610	54111	78731
611	54197	78639
612	54286	78551
613	54376	78464
614	54463	78374
615	54553	78287
616	54640	78196
617	54734	78115
618	54824	78029
619	54911	77939
620	54994	77843
621	55082	77753
622	55166	77658
623	55250	77562
624	55339	77474
625	55424	77382
626	55506	77283
627	55590	77189
628	55676	77096
629	55765	77010
630	55850	76915
631	55940	76830
632	56029	76741
633	56115	76649
634	56199	76555
635	56292	76473
636	56381	76385
637	56467	76292
638	56550	76196
639	56632	76099
640	56714	76002
641	56801	75911
642	56889	75822
643	56970	75724
644	57055	75631
645	57136	75533
646	57219	75438
647	57301	75341
648	57387	75249
649	57470	75153
650	57553	75058
651	57642	74970
652	57729	74880
653	57815	74789
654	57905	74702
655	57991	74610
656	58076	74518
657	58161	74425
658	58248	74335
659	58336	74246
660	58423	74156
661	58514	74071
662	58600	73979
663	58686	73889
664	58771	73795
665	58855	73701
666	58940	73609
667	59028	73520
668	59120	73436
669	59206	73345
670	59288	73249
671	59376	73159
672	59467	73075
673	59554	72985
674	59646	72900
675	59734	72812
676	59826	72728
677	59911	72636
678	60002	72551
679	60090	72461
680	60182	72377
681	60267	72285
682	60356	72198
683	60443	72107
684	60532	72019
685	60615	71925
686	60698	71830
687	60786	71741
688	60866	71644
689	60952	71552
690	61034	71457
691	61122	71368
692	61213	71283
693	61297	71190
694	61383	71098
695	61468	71006
696	61551	70912
697	61637	70820
698	61721	70728
699	61806	70635
700	61892	70544
701	61976	70452
702	62065	70363
703	62151	70273
704	62238	70183
705	62295	70060
706	62381	69970
707	62470	69881
708	62552	69786
709	62638	69695
710	62721	69602
711	62805	69508
712	62890	69418
713	62990	69342
714	63083	69260
715	63171	69170
716	63269	69093
717	63360	69008
718	63452	68923
719	63538	68833
720	63626	68745
721	63713	68655
722	63801	68566
723	63895	68484
724	63978	68391
725	64071	68307
726	64156	68216
727	64243	68126
728	64331	68037
729	64418	67947
730	64503	67856
731	64595	67772
732	64686	67686
733	64768	67592
734	64878	67526
735	64966	67437
736	65052	67347
737	65138	67256
738	65218	67160
739	65300	67065
740	65387	66976
741	65473	66885
742	65557	66792
743	65643	66702
744	65727	66609
745	65812	66517
746	65896	66425
747	65980	66333
748	66064	66241
749	66155	66155
750	66245	66069
751	66327	65974
752	66416	65887
753	66499	65793
754	66582	65700
755	66666	65608
756	66751	65517
757	66834	65423
758	66914	65327
759	67000	65237
760	67082	65143
761	67167	65051
762	67251	64959
763	67338	64870
764	67421	64777
765	67509	64689
766	67597	64600
767	67684	64511
768	67777	64427
769	67858	64333
770	67945	64243
771	68027	64150
772	68114	64060
773	68207	63977
774	68270	63866
775	68362	63781
776	68449	63692
777	68537	63604
778	68621	63512
779	68711	63426
780	68798	63336
781	68885	63247
782	68973	63159
783	69058	63069
784	69146	62980
785	69232	62891
786	69315	62798
787	69397	62704
788	69481	62612
789	69567	62522
790	69649	62429
791	69735	62339
792	69815	62244
793	69903	62156
794	69989	62066
795	70080	61980
796	70166	61890
797	70254	61802
798	70343	61715
799	70428	61625
800	70513	61534
801	70599	61444
802	70682	61352
803	70778	61271
804	70863	61180
805	70948	61089
806	71035	61000
807	71131	60919
808	71218	60830
809	71306	60742
810	71394	60654
811	71487	60570
812	71570	60478
813	71657	60389
814	71747	60302
815	71836	60216
816	71922	60125
817	72007	60035
818	72091	59944
819	72178	59855
820	72273	59773
821	72355	59680
822	72438	59588
823	72523	59497
824	72589	59391
825	72677	59303
826	72761	59212
827	72847	59122
828	72932	59032
829	73021	58944
830	73108	58856
831	73194	58767
832	73276	58673
833	73362	58584
834	73446	58493
835	73529	58401
836	73616	58312
837	73689	58213
838	73773	58121
839	73866	58038
840	73951	57948
841	74037	57858
842	74128	57772
843	74214	57683
844	74301	57594
845	74387	57505
846	74473	57415
847	74559	57326
848	74642	57234
849	74726	57144
850	74810	57052
851	74895	56962
852	74978	56871
853	75060	56779
854	75145	56688
855	75229	56597
856	75317	56510
857	75404	56421
858	75488	56330
859	75576	56243
860	75661	56153
861	75747	56063
862	75839	55978
863	75928	55891
864	76011	55800
865	76076	55695
866	76161	55605
867	76245	55515
868	76328	55424
869	76416	55336
870	76501	55246
871	76584	55154
872	76676	55069
873	76762	54980
874	76851	54893
875	76938	54805
876	77025	54717
877	77113	54629
878	77199	54540
879	77283	54449
880	77382	54369
881	77479	54288
882	77564	54198
883	77646	54106
884	77730	54016
885	77816	53927
886	77901	53837
887	77983	53745
888	78070	53656
